LocalProcessTimeDiffMs,LocalTimeDiffMs,LocalMonotonicDiffMs,RemoteDiffTimeMs
0.000000000,625.032663345,625.000000000,554.926269531
0.000000000,610.183477402,608.999999939,538.792480469
0.000000000,611.574888229,609.000000171,539.613525391
15.625000000,616.330623627,608.999999939,545.035156250
0.000000000,616.753101349,625.000000000,546.473388672
0.000000000,621.820449829,625.000000000,550.418701172
0.000000000,615.844726562,608.999999939,545.466064453
15.625000000,617.572784424,608.999999939,546.198974609
15.625000000,625.127315521,625.000000000,554.547363281
31.250000000,623.548507690,625.000000000,553.293701172
15.625000000,637.123584747,640.999999829,554.531005859
31.250000000,611.604690552,608.999999939,540.315429688
0.000000000,602.157831192,609.000000171,531.513671875
15.625000000,600.558280945,593.999999808,531.357421875
0.000000000,612.006902695,608.999999939,541.761474609
15.625000000,622.497081757,625.000000000,552.730468750
0.000000000,615.005016327,608.999999939,544.206054688
15.625000000,614.545583725,608.999999939,544.102050781
0.000000000,613.905429840,608.999999939,543.457031250
15.625000000,609.883546829,608.999999939,539.453125000
0.000000000,611.251831055,609.000000171,540.816406250
15.625000000,616.718530655,625.000000000,545.538818359
0.000000000,607.466697693,609.000000171,536.845214844
0.000000000,608.033657074,609.999999870,537.376464844
0.000000000,613.883495331,625.000000000,543.241943359
0.000000000,605.003595352,609.999999870,534.354003906
15.625000000,618.999242783,608.999999939,547.348632812
15.625000000,620.005369186,608.999999939,547.346679688
0.000000000,601.905584335,593.999999808,531.216552734
0.000000000,606.450319290,609.000000171,534.210205078
15.625000000,625.547647476,625.000000000,553.976562500
15.625000000,609.004020691,608.999999939,538.429443359
0.000000000,633.031845093,625.000000000,561.805175781
15.625000000,611.033916473,608.999999939,540.800537109
15.625000000,608.964204788,608.999999939,538.752197266
0.000000000,611.003160477,609.000000171,540.759765625
0.000000000,617.599010468,609.000000171,545.756591797
0.000000000,617.981195450,625.000000000,546.156982422
0.000000000,612.022638321,609.000000171,541.174804688
0.000000000,611.027479172,609.000000171,539.166259766
31.250000000,602.570533752,594.000000041,531.160644531
15.625000000,615.985155106,609.999999870,542.566894531
0.000000000,613.105297089,625.000000000,542.555908203
15.625000000,598.032474518,593.000000110,529.478271484
0.000000000,613.910675049,625.000000000,542.345214844
15.625000000,609.611511230,609.000000171,538.433349609
15.625000000,599.112987518,593.999999808,531.821289062
31.250000000,606.980085373,608.999999939,536.681396484
0.000000000,627.494812012,625.000000000,558.675537109
0.000000000,609.086036682,608.999999939,541.125000000
0.000000000,600.990295410,609.000000171,532.156005859
0.000000000,611.980199814,610.000000102,541.136474609
15.625000000,608.562946320,609.999999870,540.029052734
15.625000000,615.004539490,609.999999870,543.461425781
0.000000000,605.089426041,608.999999939,534.456054688
0.000000000,617.905616760,625.000000000,547.268798828
15.625000000,604.976892471,608.999999939,536.360595703
15.625000000,622.011423111,625.000000000,550.355468750
0.000000000,611.032962799,608.999999939,539.374755859
0.000000000,611.905813217,609.000000171,541.243652344
0.000000000,611.266613007,609.000000171,541.237304688
0.000000000,623.915195465,625.000000000,553.870605469
0.000000000,606.638193130,609.000000171,537.989990234
0.000000000,610.900878906,609.999999870,540.254394531
0.000000000,609.979391098,608.999999939,539.345458984
15.625000000,617.007255554,609.999999870,541.750488281
0.000000000,617.027759552,625.000000000,545.740722656
0.000000000,604.492425919,608.999999939,534.712402344
0.000000000,630.006551743,625.000000000,559.193359375
31.250000000,603.356838226,608.999999939,534.659423828
15.625000000,611.979007721,625.000000000,541.303466797
0.000000000,607.630729675,608.999999939,537.323486328
15.625000000,601.042985916,594.000000041,533.665039062
0.000000000,613.892078400,609.999999870,546.538818359
0.000000000,612.031459808,608.999999939,540.645996094
15.625000000,604.912042618,608.999999939,534.514648438
15.625000000,606.202602386,609.000000171,537.604003906
31.250000000,610.032558441,625.000000000,539.429443359
15.625000000,607.971906662,610.000000102,537.389160156
0.000000000,613.030672073,609.999999870,541.416748047
15.625000000,613.993167877,625.000000000,542.375488281
15.625000000,617.065668106,608.999999939,546.377197266
0.000000000,613.033056259,609.999999870,542.350830078
0.000000000,626.454591751,625.000000000,555.219726562
15.625000000,618.007421494,625.000000000,547.741455078
0.000000000,622.379302979,625.000000000,550.732177734
0.000000000,619.993209839,625.000000000,549.354736328
0.000000000,621.270418167,625.000000000,550.355224609
0.000000000,623.009204865,625.000000000,552.083984375
15.625000000,625.191926956,625.000000000,554.048339844
0.000000000,615.977287292,625.000000000,544.855468750
0.000000000,610.614061356,608.999999939,540.843017578
0.000000000,605.692148209,609.000000171,535.203369141
15.625000000,614.564657211,625.000000000,543.510253906
15.625000000,603.007316589,594.000000041,534.890136719
15.625000000,615.007877350,609.999999870,544.883789062
0.000000000,615.989208221,625.000000000,545.860595703
15.625000000,614.701032639,609.999999870,543.869873047
15.625000000,615.908145905,625.000000000,545.069091797
0.000000000,622.965335846,625.000000000,552.183837891
15.625000000,624.031305313,625.000000000,553.215576172
0.000000000,608.999967575,609.999999870,538.183105469
15.625000000,613.000869751,610.000000102,542.175292969
15.625000000,603.018283844,609.999999870,535.168701172
31.250000000,611.987113953,608.999999939,541.144287109
15.625000000,614.010334015,625.000000000,543.155273438
15.625000000,607.005119324,608.999999939,536.174804688
0.000000000,623.199224472,625.000000000,552.140869141
0.000000000,619.908809662,625.000000000,549.842529297
0.000000000,620.981693268,625.000000000,551.932617188
15.625000000,611.640214920,608.999999939,539.925537109
0.000000000,615.009069443,625.000000000,542.283447266
0.000000000,612.925767899,608.999999939,542.181640625
15.625000000,626.909017563,641.000000061,556.174560547
0.000000000,625.030517578,625.000000000,554.170654297
0.000000000,621.968507767,625.000000000,551.099609375
0.000000000,607.613325119,609.999999870,537.103515625
0.000000000,620.991230011,625.000000000,549.481201172
0.000000000,616.966009140,625.000000000,541.470703125
15.625000000,612.031698227,609.999999870,540.502441406
0.000000000,619.522094727,625.000000000,548.468750000
15.625000000,614.981651306,609.999999870,542.945068359
0.000000000,611.329317093,609.999999870,540.967285156
0.000000000,612.994194031,608.999999939,541.624267578
15.625000000,610.450744629,625.000000000,539.538330078
15.625000000,608.034133911,608.999999939,537.086669922
15.625000000,619.696378708,609.000000171,549.049316406
0.000000000,623.976945877,625.000000000,553.335693359
15.625000000,621.076345444,625.000000000,549.341796875
15.625000000,615.712404251,608.999999939,545.257568359
0.000000000,609.032869339,608.999999939,537.578613281
15.625000000,630.003690720,625.000000000,557.571044922
0.000000000,607.741594315,608.999999939,536.539794922
0.000000000,614.008426666,625.000000000,542.797119141
15.625000000,594.005107880,593.000000110,525.790039062
0.000000000,628.009557724,625.000000000,557.760009766
15.625000000,618.164539337,608.999999939,546.740478516
0.000000000,623.070955276,625.000000000,551.562255859
15.625000000,617.208957672,625.000000000,542.493896484
0.000000000,602.028846741,608.999999939,534.603759766
0.000000000,615.010738373,609.000000171,543.571044922
15.625000000,618.597507477,609.000000171,547.587158203
31.250000000,645.885467529,656.000000192,574.899414062
0.000000000,615.039348602,609.999999870,545.012451172
31.250000000,615.692138672,610.000000102,544.978271484
0.000000000,616.978406906,625.000000000,546.284423828
31.250000000,601.004123688,593.999999808,533.300048828
